4 4 0 F...B.F...B.E.AABDE..GGDE....D....CC B99 G99 D98 A99
4 4 0 F...BDF...BD..AABDE..GG.E.....E...CC E99 B99 G99 A99
4 4 0 F....DF....D..AABDE.GGB.E...B.E.CC.. C98 E99 B99 A99
4 4 0 ....BDF...BDFAA.BDE..GG.E.....E...CC E99 B99 G99 F99
4 4 0 F....DF....D.AA.BDEGG.B.E...B.E..CC. C99 E99 B99 G99
4 4 0 ....BDF...BDFAA.BDEGG...E.....E...CC E99 B99 G99 F99
4 4 0 ....BDF...BDFAA.BDE.GG..E.....ECC... C97 E99 B99 F99
4 4 0 ......F...B.FAA.B.E.GGBDE....DE..CCD C99 E99 D97 F99
4 4 0 ....BDF...BDFAA.BDE.GG..E.....E.CC.. C98 E99 B99 F99
4 4 0 ....BDF...BDF.AABDE.GG..E.....E...CC E99 B99 A99 F99
4 4 0 ....BDF...BDFAA.BDE.GG..E.....E..CC. C99 E99 B99 F99
4 4 0 F.....F......AA.B.E.GGBDE...BDE..CCD C99 E99 B99 D97
4 4 0 ....B.F...B.FAA.BDE.GG.DE....DE...CC E99 B99 D98 F99
4 4 0 F...B.F...B..AA.B.E.GG.DE....DE..CCD C99 E99 B99 D97
4 4 0 F.....F......AA.BDE.GGBDE...BDE..CC. C99 E99 B99 D98
4 4 0 ......F...B.FAA.BDE.GGBDE....DE..CC. C99 E99 D98 F99
4 4 0 F.....F...BDE.AABDEGG.BDE......CC... C97 G99 D99 A99
4 4 0 .....DF....DFAA..DE.GGB.E...B.E.CCB. C98 E99 B98 F99
4 4 0 F.....F....D.AA.BDE.GGBDE...B.E..CC. C99 E99 B99 D99
4 4 0 F...BDF...BD.AA.BDEGG...E.....E..CC. C99 E99 B99 G99
4 4 0 F.....F...BD.AA.BDEGG.BDE.....ECC... C97 E99 G99 D99
4 4 0 F.....F...B..AA.B.EGG.BDE....DE..CCD C99 E99 G99 D97
4 4 0 F.....F...B..AA.BDEGG.BDE....DE..CC. C99 E99 G99 D98
4 4 0 F.....F....D.AA..DE.GGBDE...B.ECC.B. C97 E99 B98 D99
4 4 0 F.....F....DE.AABDE.GGBDE...B..CC... C97 B99 D99 A99
4 4 0 F.....F...BD.AA.BDEGG.BDE.....E..CC. C99 E99 G99 D99
4 4 0 F....DF....DAA..BDE.GGB.E...B.E..CC. C99 E99 B99 A99
4 4 0 F.....F....D.AA.BDE.GGBDE...B.ECC... C97 E99 B99 D99
4 4 0 F...BDF...BDAA..BDE.GG..E.....E..CC. C99 E99 B99 A99
4 4 0 F.....F...B.AA..B.E.GGBDE....DE..CCD C99 E99 D97 A99
4 4 0 .....DF....DFAA.BDEGG.B.E...B.E...CC E99 B99 G99 F99
4 4 0 F.....F....D.AA.BDE.GGBDE...B.E.CC.. C98 E99 B99 D99
4 4 0 ......F...B.FAA.B.E.GGBDE....DE.CC.D C98 E99 D97 F99
4 4 0 F...BDF...BD..AABDE.GG..E.....ECC... C97 E99 B99 A99
4 4 0 F...BDF...BD.AA.BDE..GG.E.....E..CC. C99 E99 B99 G99
4 4 0 F.....F...B.AA..BDE.GGBDE....DE..CC. C99 E99 D98 A99
4 4 0 F.....F...BDAA..BDE.GGBDE.....E..CC. C99 E99 D99 A99
4 4 0 F.....F......AA.BDE.GGBDE...BDE.CC.. C98 E99 B99 D98
4 4 0 ......F...BDFAA.BDEGG.BDE.....E...CC E99 G99 D99 F99
4 4 0 ......F....DFAA.BDE.GGBDE...B.E...CC E99 B99 D99 F99
4 4 0 F...BDF...BD..AABDEGG...E.....E...CC E99 B99 G99 A99
4 4 0 .....DF....DFAA.BDE.GGB.E...B.E.CC.. C98 E99 B99 F99
4 4 0 ......F...BDFAA.BDE.GGBDE.....ECC... C97 E99 D99 F99
