3 3 0 ..EEE..CCC..AA...H...BBHFF...H.DDGGG D99 F97 B99 I1
3 3 0 ..EEE..CCC..AA...H...BBH.FF..H.DDGGG D99 F98 B99 I1
3 3 0 ..EEE..CCC....AA.H..BB.HFF...HDDGGG. G99 F97 A98 I1
3 3 0 ..EEE....CCC.AA..H..BB.H...FFH.DDGGG D99 A99 C98 I1
3 3 0 ..EEE....CCCAA...H..BB.HFF...H.DDGGG D99 F97 C98 I1
3 3 0 ..EEE....CCCAA...HBB...H..FF.HDD.GGG F99 B98 C98 I1
3 3 0 ..EEE....CCCAA...H.BB..H...FFH.DDGGG D99 B99 C98 I1
3 3 0 ...EEE.CCC..AA...H...BBH...FFH.DDGGG D99 B99 E99 I1
3 3 0 EEE....CCC..AA...H...BBH...FFH.DDGGG D99 B99 E98 I1
3 3 0 ..EEE..CCC.H..AA.H..BB.HFF....DD.GGG H99 F97 A98 I1
3 3 0 .EEE...CCC..AA...H...BBH...FFH.DDGGG D99 B99 E99 I1
3 3 0 ..EEEH.CCC.HAA...H...BB....FF..DDGGG D99 H98 B99 I1
3 3 0 ..EEE..CCC...AA..H...BBH.FF..HDD.GGG F98 B99 A99 I1
3 3 0 ..EEE....CCCAA...H...BBH..FF.HDD.GGG F99 B99 C98 I1
3 3 0 EEE...CCC...AA...H..BB.H..FF.HDD.GGG F99 C99 E98 I1
3 3 0 .EEE..CCC...AA...H..BB.H..FF.HDD.GGG F99 C99 E99 I1
3 3 0 ..EEE..CCC...AA..HBB...H.FF..HDD.GGG F98 B98 A99 I1
3 3 0 ..EEE.CCC...AA...H..BB.H..FF.HDDGGG. G99 F99 C99 I1
3 3 0 ..EEEHCCC..HAA...H..BB....FF..DD.GGG H98 F99 C99 I1
3 3 0 ..EEE..CCC...AA..H.BB..H.FF..HDD.GGG F98 B99 A99 I1
3 3 0 ..EEE....CCCAA...H..BB.H.FF..H.DDGGG D99 F98 C98 I1
3 3 0 ..EEE..CCC.....AAH...BBH...FFHDDGGG. G99 B99 A97 I1
3 3 0 ..EEE.CCC..H..AA.H..BB.H...FF.DD.GGG H99 A98 C99 I1
3 3 0 ..EEE.CCC..H.AA..H..BB.H...FF.DD.GGG H99 A99 C99 I1
3 3 0 ..EEE....CCC.AA..H..BB.H.FF..HDD.GGG F98 A99 C98 I1
3 3 0 ..EEE.CCC..HAA...H..BB.H....FFDD.GGG H99 F99 C99 I1
3 3 0 ..EEE.CCC..HAA...H..BB.HFF....DD.GGG H99 F97 C99 I1
3 3 0 ..EEE...CCC..AA..H..BB.H.FF..HDD.GGG F98 A99 C99 I1
3 3 0 ..EEE..CCC.H...AAH.BB..H...FF.DD.GGG H99 B99 A97 I1
3 3 0 ..EEE.CCC..HAA...H..BB.H.FF...DD.GGG H99 F98 C99 I1
3 3 0 ..EEE.CCC..HAA...H..BB.H..FF..DD.GGG H99 F99 C99 I1
3 3 0 ..EEE.CCC....AA..H..BB.H.FF..HDD.GGG F98 A99 C99 I1
3 3 0 ...EEECCC..HAA...H..BB.H...FF.DD.GGG H99 C99 E99 I1
3 3 0 EEE...CCC..HAA...H..BB.H...FF.DD.GGG H99 C99 E98 I1
3 3 0 ...EEE.CCC...AA..H..BB.H.FF..HDD.GGG F98 A99 E99 I1
3 3 0 EEE......CCCAA...H..BB.H...FFH.DDGGG D99 C98 E98 I1
